nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2008-01-01 00:00:00	1.49	170.093	0.203	0.222	0.408	170.069	0	11.249	202	3.265	4.298	0.42	161.148	0.196	1.433	170.491	0.225	4.945	4.857	4.089	3.8
486	718	2008-01-01 01:00:00	1.67	170.134	0.193	0.209	0.464	170.069	0.002	11.249	202	3.596	4.558	0.45	183.615	0.192	1.606	169.697	0.21	4.899	4.682	4.375	4.057
486	718	2008-01-01 02:00:00	1.71	173.495	0.189	0.2	0.435	167.671	0.002	10.912	202	3.665	4.734	0.52	216.558	0.183	1.625	170.798	0.202	5.056	4.72	4.546	4.215
486	718	2008-01-01 03:00:00	1.68	178.994	0.184	0.196	0.432	167.671	0.002	10.912	202	3.551	4.817	0.54	226.561	0.172	1.585	174.287	0.199	5.381	5.021	4.588	4.233
486	718	2008-01-01 04:00:00	1.66	183.413	0.172	0.193	0.436	167.671	0.002	10.912	202	3.494	4.864	0.57	226.721	0.162	1.561	178.049	0.198	5.764	5.39	4.579	4.201
486	718	2008-01-01 05:00:00	1.68	187.2	0.17	0.19	0.449	176.363	0.002	11.193	202	3.543	4.914	0.43	229.616	0.159	1.627	184.766	0.193	5.716	5.29	4.687	4.291
486	718	2008-01-01 06:00:00	1.74	190.758	0.166	0.186	0.455	176.363	0.002	11.193	202	3.652	5	0.51	228.485	0.146	1.663	187.51	0.191	6.348	5.929	4.719	4.312
486	718	2008-01-01 07:00:00	1.8	193.446	0.158	0.181	0.459	176.363	0.002	11.193	202	3.732	5.104	0.61	228.24	0.14	1.698	189.155	0.189	6.755	6.376	4.758	4.339
486	718	2008-01-01 08:00:00	1.84	195.488	0.155	0.177	0.432	171.549	0.002	10.615	202	3.79	5.212	0.8	226.205	0.138	1.652	188.227	0.189	6.888	6.572	4.725	4.298
486	718	2008-01-01 09:00:00	1.86	197.639	0.148	0.171	0.428	171.549	0.002	10.615	202	3.799	5.342	0.92	225.927	0.134	1.616	188.321	0.189	7.135	6.841	4.724	4.289
486	718	2008-01-01 10:00:00	1.91	199.746	0.139	0.166	0.427	171.549	0.002	10.615	202	3.872	5.48	1.04	225.258	0.131	1.594	188.465	0.188	7.338	7.054	4.715	4.275
486	718	2008-01-01 11:00:00	1.93	202.044	0.123	0.161	0.377	176.668	0.002	9.636	202	3.88	5.645	1.27	221.107	0.13	1.457	186.969	0.196	7.421	7.157	4.523	4.109
