nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2005-01-01 00:00:00	5.43	254.942	0.073	0.094	0.803	192.793	0	16.438	202	10.891	9.216	4.36	279.191	0.078	3.244	208.958	0.146	12.045	11.551	6.176	5.652
486	718	2005-01-01 01:00:00	5.46	250.446	0.073	0.096	0.819	192.793	0.002	16.438	202	10.953	9.024	4.23	278.33	0.079	3.46	207.599	0.144	12.06	11.604	6.287	5.761
486	718	2005-01-01 02:00:00	5.48	246.781	0.073	0.098	0.849	197.534	0.003	16.895	202	10.985	8.885	4	278.885	0.078	3.747	210.264	0.138	12.232	11.8	6.526	5.977
486	718	2005-01-01 03:00:00	5.48	244.04	0.073	0.099	0.855	197.534	0.003	16.895	202	10.751	8.783	3.87	278.05	0.078	3.877	210.719	0.136	12.202	11.782	6.622	6.063
486	718	2005-01-01 04:00:00	5.47	242.561	0.073	0.1	0.854	197.534	0.003	16.895	202	10.647	8.738	3.8	277.136	0.079	3.933	210.964	0.135	12.16	11.749	6.684	6.117
486	718	2005-01-01 05:00:00	5.35	245.33	0.073	0.098	0.54	224.968	0.002	12.707	202	10.399	8.96	3.97	270.507	0.081	3.586	218.686	0.133	11.442	10.64	6.821	6.277
486	718	2005-01-01 06:00:00	5.2	250.786	0.073	0.095	0.514	224.968	0.002	12.707	202	10.102	9.332	4.13	269.376	0.081	3.168	221.818	0.135	11.566	10.967	6.753	6.225
486	718	2005-01-01 07:00:00	5.15	254.06	0.073	0.094	0.508	224.968	0.002	12.707	202	9.98	9.544	4.16	270.444	0.081	3.025	224.307	0.135	11.796	11.32	6.733	6.206
486	718	2005-01-01 08:00:00	5.12	255.463	0.073	0.093	0.535	214.684	0.002	13.268	202	9.932	9.623	4.17	272.415	0.08	2.966	220.95	0.137	11.982	11.601	6.646	6.117
486	718	2005-01-01 09:00:00	5.11	256.101	0.073	0.092	0.539	214.684	0.002	13.268	202	9.915	9.659	4.19	272.401	0.079	2.915	220.923	0.138	12.04	11.651	6.562	6.029
486	718	2005-01-01 10:00:00	5.11	256.489	0.073	0.092	0.542	214.684	0.002	13.268	202	10.014	9.689	4.23	272.06	0.079	2.877	221.19	0.139	12.093	11.703	6.48	5.942
486	718	2005-01-01 11:00:00	5.14	256.232	0.073	0.091	0.577	201.417	0.002	13.857	202	10.075	9.691	4.34	271.128	0.08	2.748	216.208	0.142	11.882	11.415	6.308	5.768
