nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2004-01-01 00:00:00	5.86	207.897	0.089	0.108	1.167	164.778	0	19.919	202	11.686	8.334	3.24	248.656	0.085	4.886	193.381	0.122	11.443	11.178	7.246	6.555
486	718	2004-01-01 01:00:00	6.14	207.808	0.088	0.105	1.147	164.778	0.003	19.919	202	12.251	8.593	3.37	245.561	0.083	5.133	193.877	0.118	11.698	11.419	7.52	6.816
486	718	2004-01-01 02:00:00	6.35	207.695	0.087	0.102	1.103	162.897	0.003	19.45	202	12.67	8.845	3.53	242.759	0.082	5.282	193.658	0.113	11.756	11.418	7.766	7.016
486	718	2004-01-01 03:00:00	6.51	207.911	0.083	0.099	1.088	162.897	0.003	19.45	202	12.904	9.112	3.77	238.515	0.079	5.305	193.44	0.112	12.214	11.861	7.866	7.109
486	718	2004-01-01 04:00:00	6.65	208.006	0.079	0.096	1.077	162.897	0.003	19.45	202	13.103	9.336	3.9	236.397	0.077	5.387	193.81	0.11	12.552	12.191	8.015	7.237
486	718	2004-01-01 05:00:00	6.78	207.987	0.077	0.094	1.06	160.667	0.003	19.362	202	13.307	9.547	4.04	234.434	0.076	5.444	193.859	0.108	12.792	12.365	8.151	7.353
486	718	2004-01-01 06:00:00	6.89	207.936	0.075	0.092	1.052	160.667	0.003	19.362	202	13.5	9.74	4.49	230.408	0.075	5.221	191.364	0.11	12.965	12.605	7.985	7.21
486	718	2004-01-01 07:00:00	6.99	207.805	0.074	0.091	1.047	160.667	0.003	19.362	202	13.754	9.888	4.58	229.381	0.074	5.283	191.589	0.109	13.152	12.794	8.093	7.299
486	718	2004-01-01 08:00:00	7.08	207.963	0.073	0.089	0.983	162.287	0.003	18.57	202	13.909	10.067	4.67	228.543	0.073	5.329	192.086	0.107	13.306	12.945	8.236	7.426
486	718	2004-01-01 09:00:00	7.16	208.013	0.072	0.088	0.963	162.287	0.003	18.57	202	14.044	10.233	4.73	227.856	0.072	5.377	192.568	0.105	13.419	13.047	8.397	7.566
486	718	2004-01-01 10:00:00	7.21	207.717	0.072	0.087	0.942	162.287	0.003	18.57	202	14.169	10.362	4.74	227.259	0.072	5.44	192.812	0.103	13.455	13.058	8.58	7.737
486	718	2004-01-01 11:00:00	7.28	207.315	0.073	0.086	0.93	165.003	0.002	18.666	202	14.252	10.472	4.71	226.653	0.072	5.55	193.327	0.101	13.583	13.241	8.749	7.894
486	718	2004-01-01 12:00:00	7.4	206.929	0.073	0.085	0.924	165.003	0.002	18.666	202	14.492	10.565	4.73	226.161	0.071	5.689	193.56	0.099	13.647	13.287	8.898	8.03
486	718	2004-01-01 13:00:00	7.51	206.615	0.072	0.085	0.919	165.003	0.002	18.666	202	14.705	10.66	4.77	225.727	0.071	5.806	193.652	0.098	13.708	13.328	9.032	8.152
486	718	2004-01-01 14:00:00	7.55	206.422	0.072	0.084	0.848	163.683	0.002	17.797	202	14.855	10.783	5.17	222.917	0.071	5.505	191.718	0.1	13.63	13.239	8.861	8.014
486	718	2004-01-01 15:00:00	7.52	206.135	0.072	0.083	0.835	163.683	0.002	17.797	202	14.781	10.889	5.15	222.25	0.071	5.481	191.737	0.099	13.714	13.319	8.965	8.104
486	718	2004-01-01 16:00:00	7.47	205.639	0.072	0.083	0.829	163.683	0.002	17.797	202	14.667	10.943	5.08	221.643	0.07	5.478	191.734	0.098	13.793	13.397	9.043	8.173
486	718	2004-01-01 17:00:00	7.38	205.235	0.072	0.083	0.769	161.179	0.002	16.893	202	14.492	10.99	5.53	218.079	0.071	4.893	188.53	0.104	13.596	13.196	8.555	7.749
486	718	2004-01-01 18:00:00	7.26	204.908	0.072	0.082	0.756	161.179	0.002	16.893	202	14.234	11.036	5.64	216.46	0.072	4.567	186.921	0.106	13.5	13.114	8.349	7.568
486	718	2004-01-01 19:00:00	7.15	204.522	0.072	0.082	0.753	161.179	0.002	16.893	202	14.024	11.032	5.52	216.143	0.072	4.544	187.009	0.106	13.518	13.128	8.392	7.604
486	718	2004-01-01 20:00:00	7.07	204.14	0.072	0.083	0.746	163.514	0.002	16.738	202	13.851	10.987	5.14	217.201	0.071	4.849	189.262	0.102	13.721	13.307	8.711	7.895
486	718	2004-01-01 21:00:00	6.99	203.731	0.072	0.083	0.746	163.514	0.002	16.738	202	13.681	10.904	5.01	217.176	0.071	4.87	189.375	0.102	13.669	13.237	8.722	7.906
486	718	2004-01-01 22:00:00	6.91	203.407	0.072	0.084	0.746	163.514	0.002	16.738	202	13.538	10.824	4.88	217.319	0.071	4.894	189.468	0.102	13.598	13.146	8.742	7.926
486	718	2004-01-01 23:00:00	6.9	203.154	0.072	0.084	0.786	165.734	0.002	17.531	202	13.436	10.762	4.7	217.964	0.071	5.048	190.278	0.101	13.712	13.326	8.833	8.032
486	718	2004-01-02 00:00:00	6.93	202.909	0.072	0.085	0.788	165.734	0.002	17.531	202	13.513	10.695	4.65	218.379	0.071	5.145	190.292	0.101	13.649	13.247	8.858	8.063
486	718	2004-01-02 01:00:00	6.97	202.783	0.072	0.085	0.789	165.734	0.002	17.531	202	13.592	10.659	4.62	218.807	0.071	5.219	190.247	0.101	13.583	13.167	8.891	8.099
486	718	2004-01-02 02:00:00	7.11	202.384	0.073	0.086	0.912	170.751	0.002	19.412	202	13.886	10.575	3.44	228.24	0.069	6.219	194.664	0.093	13.945	13.495	9.65	8.766
486	718	2004-01-02 03:00:00	7.34	201.869	0.073	0.087	0.939	170.751	0.002	19.412	202	14.444	10.478	3.12	231.02	0.069	6.64	195.654	0.092	13.986	13.419	9.74	8.857
486	718	2004-01-02 04:00:00	7.51	201.738	0.074	0.087	0.95	170.751	0.002	19.412	202	14.819	10.465	3.19	231.228	0.069	6.798	195.477	0.092	13.877	13.29	9.742	8.867
486	718	2004-01-02 05:00:00	7.72	201.502	0.075	0.087	1.085	174.086	0.003	21.253	202	15.291	10.427	2.32	243.419	0.071	7.366	197.694	0.089	13.515	12.919	10.023	9.109
486	718	2004-01-02 06:00:00	8.01	201.149	0.076	0.088	1.136	174.086	0.003	21.253	202	15.94	10.355	2.29	245.115	0.071	7.677	197.629	0.09	13.51	12.846	9.975	9.072
486	718	2004-01-02 07:00:00	8.2	201.083	0.077	0.088	1.157	174.086	0.003	21.253	202	16.366	10.342	2.35	245.558	0.071	7.85	197.511	0.09	13.579	12.934	9.958	9.064
486	718	2004-01-02 08:00:00	8.4	201.075	0.077	0.088	1.275	178.215	0.003	22.791	202	16.846	10.337	1.68	260.29	0.071	8.231	199.095	0.089	13.26	12.511	10.087	9.207
486	718	2004-01-02 09:00:00	8.66	200.989	0.078	0.089	1.313	178.215	0.003	22.791	202	17.443	10.304	1.7	260.905	0.072	8.491	199.071	0.09	13.056	12.259	10.065	9.198
486	718	2004-01-02 10:00:00	8.75	200.849	0.079	0.089	1.327	178.215	0.003	22.791	202	17.661	10.262	1.54	268.528	0.076	8.609	199.181	0.09	12.187	11.373	10.061	9.198
486	718	2004-01-02 11:00:00	8.68	200.647	0.079	0.09	1.301	178.436	0.003	22.348	202	17.559	10.185	1.7	263.086	0.074	8.513	198.692	0.091	12.548	11.702	9.961	9.114
486	718	2004-01-02 12:00:00	8.53	200.336	0.08	0.091	1.312	178.436	0.003	22.348	202	17.278	10.044	1.57	271.17	0.079	8.38	198.486	0.092	11.733	10.895	9.843	8.986
486	718	2004-01-02 13:00:00	8.34	199.953	0.081	0.092	1.308	178.436	0.003	22.348	202	16.905	9.907	1.65	270.591	0.078	8.177	197.844	0.093	11.837	10.979	9.693	8.857
486	718	2004-01-02 14:00:00	8.05	199.813	0.082	0.094	1.178	180.221	0.003	20.77	202	16.311	9.784	1.63	275.85	0.08	7.88	197.551	0.094	11.68	10.938	9.571	8.752
486	718	2004-01-02 15:00:00	7.69	199.645	0.083	0.095	1.139	180.221	0.003	20.77	202	15.602	9.656	1.78	272.679	0.078	7.481	196.796	0.096	11.956	11.256	9.408	8.616
486	718	2004-01-02 16:00:00	7.42	199.209	0.086	0.096	1.122	180.221	0.003	20.77	202	15.129	9.517	1.73	279.806	0.081	7.215	196.194	0.098	11.628	10.988	9.278	8.504
486	718	2004-01-02 17:00:00	7.08	199.331	0.087	0.098	0.925	185.792	0.003	18.133	202	14.451	9.431	1.85	277.451	0.08	6.829	195.735	0.099	12.01	11.642	9.147	8.393
486	718	2004-01-02 18:00:00	6.76	199.03	0.088	0.098	0.886	185.792	0.002	18.133	202	13.802	9.371	1.84	283.562	0.082	6.503	195.054	0.1	11.839	11.544	9.083	8.348
486	718	2004-01-02 19:00:00	6.59	198.145	0.089	0.1	0.892	185.792	0.002	18.133	202	13.622	9.236	1.82	290.249	0.083	6.331	193.977	0.101	11.661	11.418	8.944	8.203
486	718	2004-01-02 20:00:00	6.23	198.089	0.09	0.101	0.618	195.151	0.002	13.965	202	12.858	9.166	2.66	242.646	0.081	5.637	192.45	0.106	11.912	11.526	8.577	7.889
486	718	2004-01-02 21:00:00	5.82	198.425	0.091	0.101	0.591	195.151	0.002	13.965	202	11.819	9.143	2.52	251.458	0.083	5.244	192.175	0.107	11.744	11.431	8.556	7.884
486	718	2004-01-02 22:00:00	5.6	198.007	0.092	0.102	0.584	195.151	0.002	13.965	202	11.395	9.063	2.41	260.154	0.084	5.057	191.631	0.107	11.486	11.147	8.51	7.85
486	718	2004-01-02 23:00:00	5.44	197.422	0.094	0.103	0.559	192.915	0.002	13.512	202	11.109	8.974	2.77	236.663	0.085	4.681	190.249	0.112	11.52	11.296	8.187	7.562
486	718	2004-01-03 00:00:00	5.32	196.894	0.096	0.104	0.558	192.915	0.002	13.512	202	11.022	8.887	2.63	242.24	0.085	4.627	189.83	0.112	11.416	11.174	8.157	7.54
486	718	2004-01-03 01:00:00	5.23	196.569	0.096	0.105	0.558	192.915	0.002	13.512	202	10.846	8.808	2.53	246.853	0.085	4.584	189.544	0.113	11.341	11.082	8.115	7.504
486	718	2004-01-03 02:00:00	5.21	196.162	0.097	0.106	0.594	190.135	0.002	14.151	202	10.808	8.738	2.12	278.789	0.085	4.755	189.377	0.111	11.335	11.043	8.228	7.607
486	718	2004-01-03 03:00:00	5.19	195.998	0.097	0.107	0.598	190.135	0.002	14.151	202	10.79	8.669	2.12	279.211	0.085	4.741	189.131	0.112	11.302	10.988	8.155	7.536
486	718	2004-01-03 04:00:00	5.18	196.114	0.098	0.107	0.604	190.135	0.002	14.151	202	10.766	8.598	2.12	279.427	0.085	4.721	189.079	0.113	11.251	10.886	8.071	7.435
486	718	2004-01-03 05:00:00	5.22	195.988	0.098	0.107	0.662	184.224	0.002	15.071	202	10.866	8.566	2.03	287.148	0.085	4.808	188.309	0.113	11.262	10.94	8.082	7.437
486	718	2004-01-03 06:00:00	5.25	196.104	0.098	0.108	0.669	184.224	0.002	15.071	202	10.948	8.54	2.04	286.803	0.085	4.841	188.328	0.113	11.225	10.891	8.055	7.405
486	718	2004-01-03 07:00:00	5.28	196.579	0.098	0.108	0.671	184.224	0.002	15.071	202	10.993	8.549	2.07	286.184	0.085	4.852	188.598	0.113	11.202	10.865	8.058	7.406
486	718	2004-01-03 08:00:00	5.37	196.65	0.098	0.107	0.739	179.575	0.002	16.18	202	11.198	8.571	2.01	291.803	0.086	4.978	188.768	0.112	11.08	10.728	8.127	7.463
