nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2010-01-01 00:00:00	3.6	358.366	0.089	0.109	0.453	4.132	0	11.52	202	7.036	8.175	2.59	354.629	0.088	2.502	2.369	0.145	10.941	10.63	6.2	5.67
486	718	2010-01-01 01:00:00	3.64	357.611	0.09	0.108	0.453	4.132	0.002	11.52	202	7.107	8.199	2.62	354.086	0.088	2.524	1.41	0.144	10.936	10.628	6.226	5.695
486	718	2010-01-01 02:00:00	3.67	356.83	0.089	0.108	0.455	357.227	0.002	11.574	202	7.183	8.232	2.65	354.959	0.088	2.544	358.863	0.144	10.948	10.632	6.252	5.722
486	718	2010-01-01 03:00:00	3.72	356.166	0.089	0.108	0.454	357.227	0.002	11.574	202	7.262	8.264	2.69	354.486	0.088	2.563	358.02	0.144	10.956	10.645	6.271	5.742
486	718	2010-01-01 04:00:00	3.74	355.713	0.088	0.108	0.453	357.227	0.002	11.574	202	7.311	8.298	2.72	354.002	0.088	2.571	357.635	0.143	10.954	10.648	6.298	5.782
486	718	2010-01-01 05:00:00	3.71	355.665	0.087	0.107	0.383	21.634	0.001	10.145	202	7.244	8.339	3.27	351.537	0.096	1.742	10.651	0.174	9.715	9.243	5.202	4.783
486	718	2010-01-01 06:00:00	3.61	356.01	0.087	0.106	0.383	21.634	0.001	10.145	202	7.047	8.398	3.19	351.301	0.096	1.685	13.586	0.176	9.835	9.39	5.143	4.722
486	718	2010-01-01 07:00:00	3.52	356.222	0.086	0.106	0.384	21.634	0.001	10.145	202	6.856	8.395	3.1	350.944	0.095	1.658	15.526	0.177	9.933	9.518	5.088	4.668
486	718	2010-01-01 08:00:00	3.46	356.892	0.087	0.107	0.483	28.972	0.002	12.139	202	6.778	8.26	2.82	348.098	0.092	2.009	14.912	0.156	10.218	9.739	5.683	5.168
486	718	2010-01-01 09:00:00	3.45	357.903	0.087	0.109	0.494	28.972	0.002	12.139	202	6.746	8.053	2.69	347.523	0.091	2.147	14.912	0.156	10.339	9.881	5.682	5.162
486	718	2010-01-01 10:00:00	3.43	358.761	0.088	0.111	0.505	28.972	0.002	12.139	202	6.697	7.875	2.62	347.082	0.092	2.208	16.024	0.158	10.348	9.922	5.602	5.082
486	718	2010-01-01 11:00:00	3.42	359.842	0.088	0.113	0.542	37.796	0.002	12.744	202	6.687	7.731	2.63	346.643	0.093	2.181	20.173	0.162	10.091	9.652	5.478	4.972
486	718	2010-01-01 12:00:00	3.41	1.025	0.089	0.115	0.551	37.796	0.002	12.744	202	6.685	7.608	2.55	346.266	0.094	2.262	21.072	0.161	10.123	9.726	5.501	4.995
486	718	2010-01-01 13:00:00	3.27	2.225	0.091	0.12	0.563	37.796	0.002	12.744	202	6.394	7.313	2.22	344.066	0.094	2.399	18.568	0.155	10.003	9.585	5.687	5.127
486	718	2010-01-01 14:00:00	3.15	1.163	0.093	0.118	0.272	124.07	0.001	7.943	202	6.162	7.494	3.12	0.351	0.117	0.382	84.694	0.338	7.486	6.789	2.648	2.43
486	718	2010-01-01 15:00:00	2.96	358.957	0.099	0.114	0.27	124.07	0.001	7.943	202	5.843	7.891	2.95	358.488	0.114	0.274	85.721	0.353	7.874	7.259	2.59	2.411
486	718	2010-01-01 16:00:00	2.84	358.059	0.101	0.112	0.269	124.07	0.001	7.943	202	5.624	8.161	2.83	357.78	0.112	0.205	84.493	0.371	8.142	7.609	2.478	2.315
486	718	2010-01-01 17:00:00	2.74	357.963	0.102	0.111	0.137	112.483	0.001	4.524	202	5.424	8.349	2.74	357.922	0.11	0.086	93.042	0.491	8.286	7.783	1.896	1.782
486	718	2010-01-01 18:00:00	2.65	358.36	0.102	0.11	0.137	112.483	0.001	4.524	202	5.239	8.475	2.65	358.34	0.11	0.061	91.614	0.511	8.411	7.938	1.818	1.706
486	718	2010-01-01 19:00:00	2.66	359.045	0.1	0.107	0.137	112.483	0.001	4.524	202	5.264	8.682	2.66	359.03	0.107	0.056	101.118	0.513	8.62	8.152	1.8	1.684
486	718	2010-01-01 20:00:00	2.55	359.861	0.1	0.107	0.054	56.074	0.001	2.025	202	5.044	8.679	2.55	359.861	0.107	0	56.074	1	8.601	8.108	0	0
486	718	2010-01-01 21:00:00	2.46	0.658	0.1	0.108	0.054	56.074	0.001	2.025	202	4.859	8.644	2.46	0.658	0.108	0	56.074	1	8.566	8.067	0	0
486	718	2010-01-01 22:00:00	2.38	1.324	0.1	0.108	0.054	56.074	0.001	2.025	202	4.694	8.574	2.38	1.324	0.108	0	56.074	1	8.495	7.991	0	0
486	718	2010-01-01 23:00:00	2.3	1.862	0.099	0.11	0.086	42.464	0.001	3.036	202	4.538	8.47	2.3	1.862	0.11	0	42.464	1	8.39	7.887	0	0
486	718	2010-01-02 00:00:00	2.23	2.381	0.099	0.111	0.086	42.464	0.001	3.036	202	4.395	8.342	2.23	2.381	0.111	0	42.464	1	8.262	7.765	0	0
486	718	2010-01-02 01:00:00	2.17	2.974	0.099	0.113	0.086	42.464	0.001	3.036	202	4.268	8.198	2.17	2.974	0.113	0	42.464	1	8.119	7.626	0	0
486	718	2010-01-02 02:00:00	2.12	3.61	0.1	0.115	0.072	74.265	0.001	2.618	202	4.17	8.046	2.12	3.61	0.115	0	74.265	1	7.965	7.474	0	0
486	718	2010-01-02 03:00:00	2.09	4.154	0.1	0.117	0.072	74.265	0.001	2.618	202	4.107	7.912	2.09	4.154	0.117	0	74.265	1	7.833	7.355	0	0
486	718	2010-01-02 04:00:00	2.07	4.582	0.101	0.119	0.072	74.265	0.001	2.618	202	4.068	7.809	2.07	4.582	0.119	0	74.265	1	7.733	7.273	0	0
486	718	2010-01-02 05:00:00	2.04	5.016	0.101	0.12	0.06	54.944	0.001	2.211	202	4.004	7.728	2.04	5.016	0.12	0	54.944	1	7.654	7.213	0	0
486	718	2010-01-02 06:00:00	1.99	5.56	0.102	0.122	0.06	54.944	0.001	2.211	202	3.91	7.645	1.99	5.56	0.122	0	54.944	1	7.573	7.144	0	0
486	718	2010-01-02 07:00:00	1.93	6.171	0.104	0.123	0.06	54.944	0.001	2.211	202	3.788	7.553	1.93	6.171	0.123	0	54.944	1	7.481	7.058	0	0
486	718	2010-01-02 08:00:00	1.85	6.734	0.106	0.125	0.085	38.808	0.001	3.016	202	3.65	7.452	1.85	6.734	0.125	0	38.808	1	7.38	6.96	0	0
486	718	2010-01-02 09:00:00	1.78	7.209	0.107	0.126	0.085	38.808	0.001	3.016	202	3.516	7.343	1.78	7.209	0.126	0	38.808	1	7.269	6.845	0	0
486	718	2010-01-02 10:00:00	1.71	7.583	0.108	0.128	0.085	38.808	0.001	3.016	202	3.38	7.232	1.71	7.583	0.128	0	38.808	1	7.153	6.717	0	0
486	718	2010-01-02 11:00:00	1.65	7.998	0.109	0.13	0.164	35.091	0.001	5.219	202	3.253	7.088	1.64	7.404	0.129	0.206	35.029	0.379	7.188	6.857	2.457	2.309
486	718	2010-01-02 12:00:00	1.59	8.501	0.109	0.133	0.165	35.091	0.001	5.219	202	3.138	6.9	1.57	7.58	0.131	0.254	35.31	0.392	7.081	6.746	2.35	2.193
486	718	2010-01-02 13:00:00	1.54	8.867	0.11	0.135	0.166	35.091	0.001	5.219	202	3.039	6.735	1.52	7.725	0.132	0.28	34.724	0.395	6.967	6.619	2.33	2.172
486	718	2010-01-02 14:00:00	1.49	9.041	0.111	0.137	0.18	29.014	0.001	5.546	202	2.944	6.578	1.45	7.553	0.133	0.338	29.757	0.369	6.939	6.601	2.486	2.312
486	718	2010-01-02 15:00:00	1.45	8.989	0.111	0.139	0.18	29.014	0.001	5.546	202	2.854	6.465	1.4	7.388	0.133	0.358	27.876	0.365	6.88	6.527	2.515	2.337
486	718	2010-01-02 16:00:00	1.41	8.798	0.112	0.139	0.18	29.014	0.001	5.546	202	2.772	6.41	1.36	7.107	0.133	0.361	27.742	0.366	6.85	6.477	2.507	2.33
486	718	2010-01-02 17:00:00	1.37	8.472	0.114	0.138	0.187	23.606	0.001	5.719	202	2.697	6.379	1.32	6.744	0.131	0.387	24.223	0.354	6.923	6.56	2.574	2.383
486	718	2010-01-02 18:00:00	1.34	7.998	0.114	0.137	0.188	23.606	0.001	5.719	202	2.637	6.369	1.28	6.169	0.13	0.39	23.796	0.355	6.956	6.571	2.565	2.374
486	718	2010-01-02 19:00:00	1.37	7.836	0.112	0.133	0.188	23.606	0.001	5.719	202	2.696	6.519	1.31	6.088	0.126	0.395	23.827	0.355	7.12	6.697	2.562	2.372
486	718	2010-01-02 20:00:00	1.34	6.983	0.112	0.13	0.078	39.699	0.001	2.755	202	2.642	6.688	1.34	6.983	0.13	0	39.699	1	6.397	5.525	0	0
486	718	2010-01-02 21:00:00	1.31	5.92	0.111	0.125	0.078	39.699	0.001	2.755	202	2.574	6.945	1.31	5.92	0.125	0	39.699	1	6.698	5.861	0	0
486	718	2010-01-02 22:00:00	1.28	5.023	0.111	0.122	0.077	39.699	0.001	2.755	202	2.522	7.164	1.28	5.023	0.122	0	39.699	1	6.946	6.137	0	0
486	718	2010-01-02 23:00:00	1.26	4.248	0.111	0.119	0.039	280.138	0.001	1.534	202	2.477	7.344	1.26	4.248	0.119	0	280.138	1	7.129	6.315	0	0
486	718	2010-01-03 00:00:00	1.24	3.567	0.111	0.117	0.039	280.138	0.001	1.534	202	2.437	7.499	1.24	3.567	0.117	0	280.138	1	7.298	6.494	0	0
486	718	2010-01-03 01:00:00	1.22	2.801	0.111	0.115	0.039	280.138	0.001	1.534	202	2.398	7.62	1.22	2.801	0.115	0	280.138	1	7.428	6.632	0	0
486	718	2010-01-03 02:00:00	1.2	1.674	0.11	0.114	0.074	263.328	0.001	2.668	202	2.353	7.696	1.2	1.674	0.114	0	263.328	1	7.507	6.711	0	0
