nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2003-01-01 00:00:00	2.8	255.512	0.072	0.075	0.136	239.873	0	4.463	202	5.391	12.146	2.8	255.547	0.075	0.12	232.564	0.471	12.026	10.993	1.97	1.844
486	718	2003-01-01 01:00:00	2.88	258.078	0.072	0.075	0.137	239.873	0.001	4.463	202	5.535	12.211	2.87	258.125	0.075	0.142	233.006	0.489	12.114	11.13	1.886	1.763
486	718	2003-01-01 02:00:00	2.97	261.275	0.072	0.075	0.145	236.889	0.001	4.668	202	5.727	12.178	2.97	261.35	0.075	0.17	232.074	0.482	12.114	11.184	1.907	1.779
486	718	2003-01-01 03:00:00	3.07	264.773	0.072	0.076	0.145	236.889	0.001	4.668	202	5.93	12.063	3.07	264.866	0.076	0.181	231.888	0.479	12.01	11.099	1.926	1.802
486	718	2003-01-01 04:00:00	3.16	267.926	0.072	0.077	0.145	236.889	0.001	4.668	202	6.097	11.928	3.15	268.023	0.076	0.178	232.086	0.474	11.869	10.962	1.952	1.829
486	718	2003-01-01 05:00:00	3.2	270.21	0.072	0.077	0.141	226.591	0.001	4.584	202	6.192	11.815	3.2	270.318	0.077	0.173	227.672	0.459	11.749	10.847	2.016	1.887
486	718	2003-01-01 06:00:00	3.21	271.534	0.072	0.077	0.141	226.591	0.001	4.584	202	6.203	11.735	3.21	271.629	0.077	0.158	226.291	0.457	11.656	10.752	2.022	1.892
486	718	2003-01-01 07:00:00	3.18	272.128	0.072	0.078	0.141	226.591	0.001	4.584	202	6.147	11.678	3.18	272.21	0.078	0.145	225.617	0.458	11.587	10.678	2.011	1.879
486	718	2003-01-01 08:00:00	3.13	272.327	0.072	0.078	0.129	218.451	0.001	4.278	202	6.047	11.634	3.13	272.372	0.078	0.111	222.898	0.505	11.516	10.586	1.837	1.722
486	718	2003-01-01 09:00:00	3.07	272.394	0.072	0.078	0.129	218.451	0.001	4.278	202	5.929	11.591	3.07	272.427	0.078	0.094	221.366	0.508	11.463	10.531	1.819	1.703
486	718	2003-01-01 10:00:00	3.01	272.483	0.072	0.078	0.129	218.451	0.001	4.278	202	5.806	11.534	3.01	272.507	0.078	0.08	219.959	0.512	11.4	10.464	1.801	1.684
486	718	2003-01-01 11:00:00	2.95	272.622	0.071	0.079	0.074	235.834	0.001	2.671	202	5.684	11.468	2.95	272.622	0.079	0	235.834	1	11.301	10.303	0	0
486	718	2003-01-01 12:00:00	2.89	272.717	0.071	0.079	0.074	235.834	0.001	2.671	202	5.609	11.393	2.89	272.717	0.079	0	235.834	1	11.229	10.238	0	0
486	718	2003-01-01 13:00:00	2.84	272.631	0.071	0.08	0.074	235.834	0.001	2.671	202	5.505	11.319	2.84	272.631	0.08	0	235.834	1	11.152	10.153	0	0
486	718	2003-01-01 14:00:00	2.81	272.367	0.071	0.08	0.385	53.109	0.001	10.728	202	5.43	11.209	2.79	271.667	0.08	0.281	16.452	0.198	11.185	10.207	4.756	4.545
486	718	2003-01-01 15:00:00	2.79	272.317	0.071	0.081	0.389	53.109	0.001	10.728	202	5.398	10.93	2.76	271	0.08	0.395	21.458	0.233	11.099	10.122	3.726	3.332
486	718	2003-01-01 16:00:00	2.85	275.505	0.072	0.085	0.439	53.109	0.002	10.728	202	5.514	9.772	2.73	270.23	0.081	0.806	25.68	0.262	10.974	9.978	3.271	2.943
486	718	2003-01-01 17:00:00	2.99	284.154	0.072	0.092	0.47	43.097	0.002	10.436	202	5.805	8.638	2.68	268.644	0.081	1.336	22.824	0.214	10.941	9.863	4.029	3.619
