nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2009-01-01 00:00:00	3.87	349.357	0.082	0.095	0.34	32.594	0	9.282	202	7.668	9.445	3.71	346.702	0.091	1.11	19.524	0.208	10.289	9.799	4.32	3.957
486	718	2009-01-01 01:00:00	3.74	349.933	0.083	0.097	0.339	32.594	0.001	9.282	202	7.349	9.297	3.57	347.211	0.092	1.095	19.23	0.206	10.134	9.666	4.356	3.992
486	718	2009-01-01 02:00:00	3.6	350.65	0.085	0.099	0.369	33.258	0.001	9.938	202	7.1	9.051	3.38	346.935	0.093	1.256	17.524	0.19	10.082	9.636	4.697	4.285
486	718	2009-01-01 03:00:00	3.48	351.758	0.087	0.102	0.372	33.258	0.001	9.938	202	6.858	8.794	3.22	347.237	0.095	1.31	19.266	0.19	9.947	9.516	4.703	4.29
486	718	2009-01-01 04:00:00	3.35	353.077	0.088	0.104	0.375	33.258	0.001	9.938	202	6.633	8.598	3.06	347.765	0.095	1.341	21.184	0.191	9.888	9.475	4.676	4.264
486	718	2009-01-01 05:00:00	3.18	353.594	0.088	0.104	0.187	42.789	0.001	5.682	202	6.293	8.636	3.14	352.577	0.102	0.493	41.392	0.33	8.876	8.275	2.801	2.616
486	718	2009-01-01 06:00:00	3.01	353.519	0.089	0.103	0.184	42.789	0.001	5.682	202	5.949	8.823	2.99	352.892	0.101	0.369	41.765	0.35	8.963	8.391	2.657	2.494
486	718	2009-01-01 07:00:00	2.89	353.772	0.089	0.102	0.183	42.789	0.001	5.682	202	5.691	8.944	2.87	353.222	0.101	0.332	41.813	0.349	9.068	8.528	2.669	2.507
486	718	2009-01-01 08:00:00	2.8	354.277	0.09	0.101	0.161	50.08	0.001	5.111	202	5.515	9.029	2.79	353.931	0.101	0.25	47.69	0.383	9.079	8.528	2.429	2.281
486	718	2009-01-01 09:00:00	2.73	354.929	0.09	0.101	0.16	50.08	0.001	5.111	202	5.356	9.101	2.72	354.64	0.1	0.225	47.065	0.384	9.134	8.599	2.425	2.278
486	718	2009-01-01 10:00:00	2.69	355.66	0.09	0.101	0.16	50.08	0.001	5.111	202	5.265	9.152	2.68	355.417	0.1	0.205	46.07	0.386	9.173	8.647	2.413	2.266
