nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2002-01-01 00:00:00	2.2	292.08	0.143	0.153	0.423	243.53	0	10.836	202	4.498	5.934	1.59	326.903	0.131	1.517	260.159	0.189	7.164	6.833	4.752	4.345
486	718	2002-01-01 01:00:00	2.36	287.466	0.141	0.153	0.426	243.53	0.002	10.836	202	4.842	6.01	1.65	321.31	0.131	1.683	259.269	0.182	7.24	6.941	4.952	4.538
486	718	2002-01-01 02:00:00	2.71	285.128	0.14	0.152	0.693	281.409	0.002	15.925	202	5.663	6.077	0.88	3.513	0.125	2.564	280.247	0.156	7.281	6.721	5.812	5.337
486	718	2002-01-01 03:00:00	3.27	284.202	0.133	0.147	0.751	281.409	0.002	15.925	202	6.86	6.322	0.76	5.415	0.124	3.177	281.756	0.148	7.483	7.042	6.129	5.632
486	718	2002-01-01 04:00:00	3.78	282.671	0.126	0.137	0.76	281.409	0.002	15.925	202	7.925	6.763	0.73	358.764	0.121	3.707	281.172	0.138	7.721	7.291	6.601	6.074
486	718	2002-01-01 05:00:00	4.03	282.201	0.117	0.127	0.519	292.935	0.002	12.292	202	8.367	7.282	1.72	264.04	0.108	3.646	285.277	0.133	8.728	8.269	6.887	6.349
486	718	2002-01-01 06:00:00	3.99	284.269	0.111	0.121	0.493	292.935	0.002	12.292	202	8.294	7.672	2.33	274.124	0.103	3.244	288.626	0.133	9.315	8.991	6.881	6.337
486	718	2002-01-01 07:00:00	4.06	287.371	0.106	0.115	0.488	292.935	0.002	12.292	202	8.248	7.995	2.66	284.17	0.098	3.068	289.353	0.132	9.787	9.504	6.857	6.301
486	718	2002-01-01 08:00:00	4.22	290.273	0.103	0.11	0.445	303.732	0.002	11.471	202	8.552	8.389	3.4	286.065	0.097	2.506	296.918	0.142	9.878	9.582	6.34	5.815
486	718	2002-01-01 09:00:00	4.46	292.013	0.096	0.104	0.443	303.732	0.001	11.471	202	8.988	8.802	3.77	288.953	0.094	2.377	298.588	0.145	10.243	9.97	6.244	5.733
486	718	2002-01-01 10:00:00	4.63	293.608	0.095	0.102	0.441	303.732	0.001	11.471	202	9.336	9.045	4.06	291.233	0.093	2.21	300.589	0.151	10.407	10.157	5.997	5.531
486	718	2002-01-01 11:00:00	4.65	295.578	0.095	0.101	0.424	329.449	0.001	11.194	202	9.405	9.126	4.31	291.249	0.095	1.753	319.05	0.164	10.03	9.663	5.538	5.112
486	718	2002-01-01 12:00:00	4.6	297.677	0.095	0.101	0.425	329.449	0.001	11.194	202	9.315	9.113	4.24	292.806	0.095	1.785	322.327	0.163	10.078	9.728	5.576	5.153
486	718	2002-01-01 13:00:00	4.55	299.512	0.095	0.101	0.425	329.449	0.001	11.194	202	9.145	9.087	4.14	293.935	0.094	1.878	323.679	0.159	10.145	9.803	5.705	5.269
486	718	2002-01-01 14:00:00	4.53	301.46	0.095	0.101	0.399	337.708	0.001	10.624	202	9.096	9.116	4.2	296.107	0.095	1.694	331.171	0.168	10.066	9.724	5.405	4.992
486	718	2002-01-01 15:00:00	4.54	303.608	0.095	0.1	0.398	337.708	0.001	10.624	202	9.106	9.207	4.2	298.161	0.094	1.711	332.993	0.167	10.197	9.872	5.449	5.032
486	718	2002-01-01 16:00:00	4.58	305.747	0.094	0.099	0.398	337.708	0.001	10.624	202	9.171	9.317	4.24	300.385	0.092	1.728	334.138	0.166	10.34	10.027	5.488	5.069
486	718	2002-01-01 17:00:00	4.59	307.246	0.092	0.097	0.313	329.271	0.001	8.807	202	9.167	9.483	4.44	305.259	0.094	1.178	331.991	0.204	10.116	9.79	4.528	4.228
486	718	2002-01-01 18:00:00	4.56	307.981	0.089	0.096	0.311	329.271	0.001	8.807	202	9.052	9.641	4.43	306.446	0.093	1.08	330.289	0.203	10.186	9.868	4.551	4.259
486	718	2002-01-01 19:00:00	4.49	308.167	0.088	0.096	0.31	329.271	0.001	8.807	202	8.912	9.702	4.38	306.793	0.093	1.024	329.755	0.203	10.209	9.904	4.562	4.274
486	718	2002-01-01 20:00:00	4.38	307.737	0.088	0.096	0.253	327.412	0.001	7.501	202	8.757	9.723	4.33	307.174	0.095	0.658	328.776	0.241	9.971	9.624	3.897	3.694
486	718	2002-01-01 21:00:00	4.24	306.811	0.089	0.097	0.252	327.412	0.001	7.501	202	8.559	9.703	4.19	306.294	0.096	0.605	328.289	0.239	9.921	9.589	3.952	3.773
486	718	2002-01-01 22:00:00	4.08	305.518	0.09	0.097	0.252	327.412	0.001	7.501	202	8.247	9.645	4.04	304.99	0.096	0.577	328.094	0.24	9.854	9.53	3.947	3.77
486	718	2002-01-01 23:00:00	3.93	303.849	0.091	0.098	0.157	336.816	0.001	5.08	202	7.845	9.624	3.92	303.792	0.098	0.164	333.132	0.36	9.6	9.177	2.662	2.563
486	718	2002-01-02 00:00:00	3.79	301.901	0.091	0.098	0.157	336.816	0.001	5.08	202	7.567	9.644	3.79	301.859	0.097	0.133	333.638	0.36	9.61	9.196	2.636	2.505
486	718	2002-01-02 01:00:00	3.67	299.88	0.092	0.097	0.157	336.816	0.001	5.08	202	7.332	9.674	3.67	299.845	0.097	0.116	333.815	0.362	9.635	9.215	2.594	2.439
486	718	2002-01-02 02:00:00	3.56	297.984	0.093	0.096	0.037	271.975	0.001	1.451	202	7.022	9.709	3.56	297.984	0.096	0	271.975	1	9.64	9.179	0	0
486	718	2002-01-02 03:00:00	3.46	296.434	0.094	0.096	0.037	271.975	0.001	1.451	202	6.821	9.733	3.46	296.434	0.096	0	271.975	1	9.663	9.197	0	0
486	718	2002-01-02 04:00:00	3.36	295.39	0.094	0.096	0.037	271.975	0.001	1.451	202	6.614	9.739	3.36	295.39	0.096	0	271.975	1	9.668	9.197	0	0
486	718	2002-01-02 05:00:00	3.27	294.901	0.094	0.096	0.209	203.315	0.001	6.468	202	6.431	9.721	3.27	294.985	0.096	0.117	214.721	0.262	9.675	9.233	3.61	3.387
486	718	2002-01-02 06:00:00	3.18	294.859	0.095	0.097	0.209	203.315	0.001	6.468	202	6.255	9.675	3.18	294.975	0.096	0.133	214.369	0.265	9.637	9.202	3.581	3.389
486	718	2002-01-02 07:00:00	3.09	294.998	0.095	0.097	0.21	203.315	0.001	6.468	202	6.067	9.603	3.09	295.155	0.097	0.152	213.937	0.278	9.574	9.146	3.304	3.022
486	718	2002-01-02 08:00:00	2.99	294.951	0.096	0.098	0.311	188.959	0.001	8.99	202	5.874	9.496	2.98	295.582	0.098	0.287	217.315	0.223	9.536	9.127	4.227	4.038
486	718	2002-01-02 09:00:00	2.89	294.377	0.099	0.099	0.314	188.959	0.001	8.99	202	5.679	9.325	2.87	295.368	0.099	0.352	214.306	0.25	9.442	9.038	3.518	3.166
486	718	2002-01-02 10:00:00	2.79	292.852	0.104	0.102	0.337	188.959	0.001	8.99	202	5.508	8.996	2.74	294.906	0.099	0.501	210.466	0.286	9.357	8.957	2.912	2.584
