nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2007-01-01 00:00:00	4.22	259.461	0.073	0.086	0.149	74.558	0	4.845	202	8.777	10.615	4.22	259.461	0.086	0.051	92.204	0.589	10.506	9.709	1.571	1.472
486	718	2007-01-01 01:00:00	4.14	260.647	0.073	0.085	0.149	74.558	0.001	4.845	202	8.273	10.79	4.14	260.647	0.085	0.043	75.19	0.611	10.689	9.972	1.523	1.432
486	718	2007-01-01 02:00:00	4.07	261.616	0.073	0.085	0.336	43.095	0.001	9.572	202	8.121	10.883	4.07	261.613	0.085	0.053	39.553	0.562	10.788	10.106	1.601	1.493
486	718	2007-01-01 03:00:00	4.01	262.497	0.073	0.084	0.338	43.095	0.001	9.572	202	7.982	10.939	4.01	262.49	0.084	0.084	42.388	0.573	10.85	10.186	1.592	1.489
486	718	2007-01-01 04:00:00	3.95	263.255	0.073	0.084	0.352	43.095	0.001	9.572	202	7.85	10.961	3.95	263.227	0.084	0.176	44.822	0.581	10.893	10.242	1.579	1.48
486	718	2007-01-01 05:00:00	3.92	263.862	0.073	0.085	0.402	14.927	0.002	9.356	202	7.765	10.719	3.89	263.368	0.084	0.482	21.589	0.392	10.869	10.048	2.064	1.867
486	718	2007-01-01 06:00:00	3.9	263.951	0.073	0.086	0.358	14.927	0.001	9.356	202	7.731	10.416	3.86	262.979	0.084	0.577	24.509	0.377	10.814	10.011	2.44	2.304
486	718	2007-01-01 07:00:00	3.89	262.802	0.073	0.086	0.357	14.927	0.001	9.356	202	7.72	10.379	3.84	261.469	0.084	0.64	18.49	0.339	10.868	10.182	2.711	2.54
486	718	2007-01-01 08:00:00	3.94	259.987	0.073	0.087	0.41	336.987	0.001	10.973	202	7.823	10.358	3.84	256.868	0.084	0.886	334.362	0.207	10.974	10.258	4.039	3.611
486	718	2007-01-01 09:00:00	4.09	255.352	0.073	0.088	0.42	336.987	0.001	10.973	202	8.151	10.214	3.94	250.4	0.084	1.116	326.185	0.201	11.145	10.585	4.268	3.847
486	718	2007-01-01 10:00:00	4.31	249.61	0.073	0.089	0.428	336.987	0.002	10.973	202	8.372	10.113	4.11	243.095	0.084	1.299	322.445	0.199	11.24	10.804	4.406	4.001
486	718	2007-01-01 11:00:00	4.49	244.687	0.074	0.089	0.379	311.966	0.001	10.02	202	8.724	10.114	4.25	237.216	0.084	1.435	313.856	0.193	11.321	10.898	4.661	4.276
486	718	2007-01-01 12:00:00	4.57	242.206	0.074	0.089	0.376	311.966	0.001	10.02	202	8.879	10.137	4.31	234.189	0.084	1.498	310.985	0.187	11.361	10.975	4.831	4.445
486	718	2007-01-01 13:00:00	4.55	242.301	0.074	0.089	0.375	311.966	0.001	10.02	202	8.849	10.122	4.29	233.804	0.083	1.534	309.599	0.184	11.384	11.007	4.922	4.532
486	718	2007-01-01 14:00:00	4.48	244.086	0.074	0.089	0.358	285.881	0.001	9.721	202	8.691	10.09	4.25	237.514	0.084	1.426	294.597	0.186	11.164	10.651	4.887	4.505
486	718	2007-01-01 15:00:00	4.37	247.101	0.074	0.089	0.359	285.881	0.001	9.721	202	8.472	10.027	4.13	240.643	0.084	1.449	291.551	0.185	11.191	10.715	4.909	4.527
486	718	2007-01-01 16:00:00	4.26	251.282	0.073	0.09	0.359	285.881	0.001	9.721	202	8.236	9.913	4	245.186	0.084	1.463	289.33	0.185	11.151	10.686	4.904	4.52
486	718	2007-01-01 17:00:00	4.15	255.696	0.073	0.09	0.364	262.998	0.001	9.843	202	8.006	9.787	3.93	253.06	0.085	1.338	273.449	0.187	10.806	10.215	4.804	4.402
486	718	2007-01-01 18:00:00	4.06	259.793	0.072	0.091	0.366	262.998	0.001	9.843	202	7.808	9.667	3.82	258.134	0.086	1.372	270.027	0.187	10.788	10.227	4.797	4.396
486	718	2007-01-01 19:00:00	3.99	263.572	0.072	0.092	0.367	262.998	0.001	9.843	202	7.662	9.557	3.73	262.835	0.086	1.406	267.828	0.187	10.769	10.233	4.798	4.4
486	718	2007-01-01 20:00:00	3.93	266.722	0.072	0.093	0.367	254.832	0.001	9.822	202	7.556	9.465	3.67	267.539	0.086	1.425	262.152	0.185	10.691	10.131	4.848	4.436
486	718	2007-01-01 21:00:00	3.89	269.21	0.071	0.093	0.367	254.832	0.001	9.822	202	7.461	9.392	3.61	270.845	0.086	1.45	260.366	0.185	10.688	10.143	4.859	4.449
486	718	2007-01-01 22:00:00	3.84	271.233	0.071	0.094	0.368	254.832	0.001	9.822	202	7.371	9.321	3.55	273.51	0.086	1.472	259.303	0.184	10.677	10.142	4.871	4.461
486	718	2007-01-01 23:00:00	3.8	272.865	0.071	0.094	0.372	253.539	0.001	9.916	202	7.295	9.243	3.49	275.847	0.087	1.491	257.709	0.184	10.638	10.096	4.889	4.476
